Year,abs_mean,n,sd_abs,se_abs,mean,sd,se
1959,6.069284932,365,0.596872077,0.031241712,-0.851415443,0.596872077,0.031241712
1960,5.690893443,366,0.377406444,0.019727351,-1.229806932,0.377406444,0.019727351
1961,5.687824658,365,0.438413545,0.022947614,-1.232875717,0.438413545,0.022947614
1962,5.618630137,365,0.445223271,0.023304051,-1.302070237,0.445223271,0.023304051
1963,6.087983562,365,0.368285111,0.019276924,-0.832716813,0.368285111,0.019276924
1964,6.589213115,366,0.28057348,0.014665811,-0.331487259,0.28057348,0.014665811
1965,5.976315068,365,0.578920041,0.03030206,-0.944385306,0.578920041,0.03030206
1966,6.062526027,365,0.572212688,0.029950981,-0.858174347,0.572212688,0.029950981
1967,5.951,365,0.57055194,0.029864053,-0.969700374,0.57055194,0.029864053
1968,5.590827869,366,0.710023465,0.037113521,-1.329872505,0.710023465,0.037113521
1969,5.486219178,365,0.711741384,0.037254247,-1.434481196,0.711741384,0.037254247
1970,6.241810959,365,0.708831262,0.037101924,-0.678889415,0.708831262,0.037101924
1971,6.046030137,365,0.672875065,0.035219891,-0.874670237,0.672875065,0.035219891
1972,6.248849727,366,0.671558406,0.03510292,-0.671850647,0.671558406,0.03510292
1973,6.204063014,365,0.578601278,0.030285375,-0.71663736,0.578601278,0.030285375
1974,6.790536986,365,0.675894407,0.03537793,-0.130163388,0.675894407,0.03537793
1975,7.712756164,365,0.529933412,0.027737983,0.79205579,0.529933412,0.027737983
1976,7.986691257,366,0.475286014,0.024843598,1.065990883,0.475286014,0.024843598
1977,6.431372603,365,0.811972739,0.042500596,-0.489327771,0.811972739,0.042500596
1978,6.06429589,365,0.608469743,0.031848762,-0.856404484,0.608469743,0.031848762
1979,6.076320548,365,0.651347702,0.034093097,-0.844379826,0.651347702,0.034093097
1980,6.316628415,366,0.66545049,0.034783654,-0.604071959,0.66545049,0.034783654
1981,5.953761644,365,0.794221649,0.041571461,-0.96693873,0.794221649,0.041571461
1982,5.967624658,365,0.574230841,0.030056616,-0.953075717,0.574230841,0.030056616
1983,6.248926027,365,0.626531879,0.032794177,-0.671774347,0.626531879,0.032794177
1984,6.908420765,366,0.602020414,0.031468111,-0.012279609,0.602020414,0.031468111
1985,6.964008219,365,0.647602419,0.03389706,0.043307845,0.647602419,0.03389706
1986,7.209435616,365,0.566726579,0.029663825,0.288735242,0.566726579,0.029663825
1987,6.766761644,365,0.640904564,0.033546478,-0.15393873,0.640904564,0.033546478
1988,7.072423497,366,0.534666782,0.02794748,0.151723123,0.534666782,0.02794748
1989,6.569690411,365,0.659174017,0.034502745,-0.351009963,0.659174017,0.034502745
1990,6.859249315,365,0.634831042,0.033228575,-0.061451059,0.634831042,0.033228575
1991,7.200238356,365,0.616719837,0.032280592,0.279537982,0.616719837,0.032280592
1992,6.078953552,366,0.742140651,0.038792313,-0.841746822,0.742140651,0.038792313
1993,6.790764384,365,0.695129792,0.036384756,-0.129935991,0.695129792,0.036384756
1994,7.618926027,365,0.492131189,0.025759324,0.698225653,0.492131189,0.025759324
1995,7.607378082,365,0.408387299,0.021375968,0.686677708,0.408387299,0.021375968
1996,7.530131148,366,0.32321408,0.016894671,0.609430773,0.32321408,0.016894671
1997,7.461846575,365,0.355742759,0.018620427,0.541146201,0.355742759,0.018620427
1998,6.593186301,365,0.432451107,0.022635525,-0.327514073,0.432451107,0.022635525
1999,7.099819178,365,0.782649164,0.04096573,0.179118804,0.782649164,0.04096573
2000,7.550882514,366,0.379722523,0.019848414,0.630182139,0.379722523,0.019848414
2001,7.198556164,365,0.332073729,0.017381533,0.27785579,0.332073729,0.017381533
2002,7.5446,365,0.448822702,0.023492454,0.623899626,0.448822702,0.023492454
2003,6.804934247,365,0.551214494,0.028851885,-0.115766128,0.551214494,0.028851885
2004,6.249521858,366,0.593050843,0.030999264,-0.671178516,0.593050843,0.030999264
2005,6.534490411,365,0.675201177,0.035341645,-0.386209963,0.675201177,0.035341645
2006,7.503147945,365,0.464079492,0.024291031,0.582447571,0.464079492,0.024291031
2007,6.844386301,365,0.537010699,0.028108425,-0.076314073,0.537010699,0.028108425
2008,6.673333333,366,0.285883353,0.014943362,-0.247367041,0.285883353,0.014943362
2009,6.657884932,365,0.346198314,0.018120848,-0.262815443,0.346198314,0.018120848
2010,7.558772603,365,0.686323143,0.035923795,0.638072229,0.686323143,0.035923795
2011,8.062717808,365,0.282197557,0.014770895,1.142017434,0.282197557,0.014770895
2012,8.324568306,366,0.370721355,0.019377916,1.403867932,0.370721355,0.019377916
2013,8.269257534,365,0.954973004,0.049985572,1.34855716,0.954973004,0.049985572
2014,8.091263014,365,0.719171079,0.037643135,1.17056264,0.719171079,0.037643135
2015,8.189827397,365,0.570969664,0.029885918,1.269127023,0.570969664,0.029885918
2016,8.578631148,366,0.644092521,0.033667255,1.657930773,0.644092521,0.033667255
2017,8.392394521,365,0.615535046,0.032218577,1.471694146,0.615535046,0.032218577
2018,8.523526027,365,0.425388229,0.022265838,1.602825653,0.425388229,0.022265838
2019,8.652690411,365,0.686670231,0.035941963,1.731990037,0.686670231,0.035941963
