Year,increase_mean,decrease_mean,low_se,high_se
1980,1,70,0.023,0.036
1981,2,69,0.023,0.036
1982,3,68,0.023,0.036
1983,4,67,0.023,0.036
1984,5,66,0.023,0.036
1985,6,65,0.023,0.036
1986,7,64,0.023,0.036
1987,8,63,0.023,0.036
1988,9,62,0.023,0.036
1989,10,61,0.023,0.036
1990,11,60,0.023,0.036
1991,12,59,0.023,0.036
1992,13,58,0.023,0.036
1993,14,57,0.023,0.036
1994,15,56,0.023,0.036
1995,16,55,0.023,0.036
1996,17,54,0.023,0.036
1997,18,53,0.023,0.036
1998,19,52,0.023,0.036
1999,20,51,0.023,0.036
2000,21,50,0.023,0.036
2001,22,49,0.023,0.036
2002,23,48,0.023,0.036
2003,24,47,0.023,0.036
2004,25,46,0.023,0.036
2005,26,45,0.023,0.036
2006,27,44,0.023,0.036
2007,28,43,0.023,0.036
2008,29,42,0.023,0.036
2009,30,41,0.023,0.036
2010,31,40,0.023,0.036
2011,32,39,0.023,0.036
2012,33,38,0.023,0.036
2013,34,37,0.023,0.036
2014,35,36,0.023,0.036
2015,36,35,0.023,0.036
2016,37,34,0.023,0.036
2017,38,33,0.023,0.036
2018,39,32,0.023,0.036
2019,40,31,0.023,0.036
2020,41,30,0.023,0.036
2021,42,29,0.023,0.036
2022,43,28,0.023,0.036
2023,44,27,0.023,0.036
2024,45,26,0.023,0.036
2025,46,25,0.023,0.036
2026,47,24,0.023,0.036
2027,48,23,0.023,0.036
2028,49,22,0.023,0.036
2029,50,21,0.023,0.036
2030,51,20,0.023,0.036
2031,52,19,0.023,0.036
2032,53,18,0.023,0.036
2033,54,17,0.023,0.036
2034,55,16,0.023,0.036
2035,56,15,0.023,0.036
2036,57,14,0.023,0.036
2037,58,13,0.023,0.036
2038,59,12,0.023,0.036
2039,60,11,0.023,0.036
2040,61,10,0.023,0.036
2041,62,9,0.023,0.036
2042,63,8,0.023,0.036
2043,64,7,0.023,0.036
2044,65,6,0.023,0.036
2045,66,5,0.023,0.036
2046,67,4,0.023,0.036
2047,68,3,0.023,0.036
2048,69,2,0.023,0.036
2049,70,1,0.023,0.036
