Year,increase_mean,low_se,decrease_mean,high_se,,Data from dataraw/cmip5.csv
1901,16.30175781,0.03,,0.08,,
1902,16.51238251,0.03,,0.08,,
1903,16.10972214,0.03,,0.08,,
1904,16.03429985,0.03,,0.08,,
1905,16.41921234,0.03,,0.08,,
1906,16.22394943,0.03,,0.08,,
1907,16.19857025,0.03,,0.08,,
1908,16.47157478,0.03,,0.08,,
1909,16.25869942,0.03,,0.08,,
1910,15.74261284,0.03,,0.08,,
1911,16.20085716,0.03,,0.08,,
1912,16.02757263,0.03,,0.08,,
1913,16.11604691,0.03,,0.08,,
1914,16.11236954,0.03,,0.08,,
1915,16.68037987,0.03,,0.08,,
1916,16.12060356,0.03,,0.08,,
1917,16.3742466,0.03,,0.08,,
1918,16.45849419,0.03,,0.08,,
1919,16.39509773,0.03,,0.08,,
1920,16.56577873,0.03,,0.08,,
1921,16.2164917,0.03,,0.08,,
1922,16.36949921,0.03,,0.08,,
1923,16.33476639,0.03,,0.08,,
1924,16.24180794,0.03,,0.08,,
1925,16.19172478,0.03,,0.08,,
1926,16.11598587,0.03,,0.08,,
1927,16.10563087,0.03,,0.08,,
1928,16.28088379,0.03,,0.08,,
1929,15.78823376,0.03,,0.08,,
1930,16.1358242,0.03,,0.08,,
1931,16.47746277,0.03,,0.08,,
1932,16.36840057,0.03,,0.08,,
1933,16.53204727,0.03,,0.08,,
1934,16.38289261,0.03,,0.08,,
1935,16.26077652,0.03,,0.08,,
1936,16.48624229,0.03,,0.08,,
1937,16.37841415,0.03,,0.08,,
1938,16.26134109,0.03,,0.08,,
1939,16.0725193,0.03,,0.08,,
1940,16.11514664,0.03,,0.08,,
1941,16.49076653,0.03,,0.08,,
1942,17.20885658,0.03,,0.08,,
1943,16.49817657,0.03,,0.08,,
1944,16.89867592,0.03,,0.08,,
1945,16.32798195,0.03,,0.08,,
1946,16.26551056,0.03,,0.08,,
1947,16.26687241,0.03,,0.08,,
1948,16.2775631,0.03,,0.08,,
1949,16.46380234,0.03,,0.08,,
1950,16.4738903,0.03,,0.08,,
1951,16.52019119,0.03,,0.08,,
1952,16.43612099,0.03,,0.08,,
1953,16.67599106,0.03,,0.08,,
1954,16.6534214,0.03,,0.08,,
1955,16.6364727,0.03,,0.08,,
1956,16.26701164,0.03,,0.08,,
1957,16.21660233,0.03,,0.08,,
1958,16.99143028,0.03,,0.08,,
1959,16.4486084,0.03,,0.08,,
1960,16.451334,0.03,,0.08,,
1961,16.32062531,0.03,,0.08,,
1962,16.03918839,0.03,,0.08,,
1963,16.1508255,0.03,,0.08,,
1964,16.31806755,0.03,,0.08,,
1965,16.28534508,0.03,,0.08,,
1966,16.23808861,0.03,,0.08,,
1967,16.4557457,0.03,,0.08,,
1968,16.35660553,0.03,,0.08,,
1969,16.2163353,0.03,,0.08,,
1970,16.35465431,0.03,,0.08,,
1971,16.7617836,0.03,,0.08,,
1972,16.56237602,0.03,,0.08,,
1973,16.47225189,0.03,,0.08,,
1974,16.62716675,0.03,,0.08,,
1975,16.26949501,0.03,,0.08,,
1976,16.44958878,0.03,,0.08,,
1977,16.39849663,0.03,,0.08,,
1978,16.42594528,0.03,,0.08,,
1979,16.72319794,0.03,,0.08,,
1980,16.92882919,0.03,,0.08,,
1981,17.06908035,0.03,,0.08,,
1982,16.96397972,0.03,,0.08,,
1983,16.58745003,0.03,,0.08,,
1984,16.77373695,0.03,,0.08,,
1985,16.75244904,0.03,,0.08,,
1986,17.10014343,0.03,,0.08,,
1987,17.00627136,0.03,,0.08,,
1988,16.39998055,0.03,,0.08,,
1989,16.99110794,0.03,,0.08,,
1990,16.95992661,0.03,,0.08,,
1991,16.77369881,0.03,,0.08,,
1992,16.64992905,0.03,,0.08,,
1993,16.40440559,0.03,,0.08,,
1994,16.94897842,0.03,,0.08,,
